행정구역,총인구,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세
 종로구 ,564472,1958,2737,3470,3992,4237,7255,9888,9853,7514,6992,8056,7378,9535,10073,9066,9390,7845,5743,4851,3954,3667,2189,1028,402,118,1947,2711,3467,4011,4361,7295,9845,9831,7573,6942,8026,7413,9482,10059,9122,9400,7883,5795,4793,3972,3707,2180,1058,405,120,1921,2661,3450,3973,4367,7233,9807,9872,7570,6901,7972,7326,9405,10059,9114,9407,7829,5930,4747,3979,3697,2217,1056,405,128,1899,2642,3463,3923,4332,7179,9777,9874,7591,6891,7995,7298,9359,10050,9046,9460,7834,5999,4701,4003,3696,2252,1054,409,130
 중구 ,482977,2225,2465,2494,2323,2722,5176,7724,9390,7902,7213,7314,6035,7240,8145,7382,8034,7161,5254,4450,3401,3065,1801,884,407,83,2217,2431,2460,2327,2774,5239,7763,9395,7967,7192,7345,6056,7205,8122,7414,8029,7144,5336,4397,3442,3094,1811,877,402,89,2222,2420,2467,2322,2794,5242,7797,9499,8024,7191,7453,6061,7157,8119,7425,7999,7125,5476,4387,3454,3099,1822,894,397,90,2234,2406,2480,2305,2789,5207,7838,9518,8148,7232,7436,6081,7140,8147,7383,8045,7143,5545,4343,3471,3103,1834,901,404,90
 용산구 ,871762,4286,4993,5349,5438,6049,9556,13648,17460,15173,13825,14031,11718,14339,14750,12773,13430,11374,8072,6747,5152,4821,3143,1489,602,148,4270,4927,5343,5420,6058,9522,13555,17441,15160,13734,14033,11741,14233,14794,12809,13413,11429,8142,6673,5165,4853,3151,1513,602,147,4216,4883,5327,5363,6068,9446,13526,17459,15218,13617,13995,11680,14070,14803,12840,13409,11344,8302,6661,5187,4826,3175,1536,607,150,4210,4840,5312,5373,6031,9339,13528,17433,15309,13634,13990,11636,14008,14798,12753,13439,11381,8397,6648,5184,4811,3198,1542,620,146
 성동구 ,1121225,6747,7566,7453,6931,7869,13442,18705,19588,17971,17782,18519,15200,17848,18871,16694,17860,14803,10368,8739,6691,5695,3262,1405,529,126,6656,7492,7416,6875,8032,13525,18646,19499,17920,17693,18462,15218,17738,18932,16753,17820,14782,10487,8645,6737,5729,3301,1407,530,135,6618,7393,7421,6852,8158,13558,18534,19594,17935,17595,18359,15150,17647,18919,16763,17773,14648,10726,8606,6765,5735,3343,1435,531,137,6528,7374,7403,6843,8133,13462,18592,19609,17980,17540,18324,15106,17568,18962,16651,17803,14683,10813,8548,6780,5762,3333,1470,531,138
 광진구 ,1347522,5222,6944,8709,9545,10350,17525,27623,28913,21637,19010,20492,18326,21561,22218,19779,20719,17487,12326,9888,7200,6066,3420,1533,577,146,5152,6880,8710,9504,10411,17619,27510,28791,21697,18922,20413,18437,21412,22144,19821,20722,17497,12461,9794,7267,6105,3471,1569,571,150,5132,6811,8684,9477,10390,17675,27431,28851,21736,18812,20331,18328,21290,22101,19857,20682,17385,12771,9781,7303,6124,3498,1594,566,150,5067,6738,8665,9447,10366,17622,27388,28782,21814,18761,20343,18278,21236,22095,19697,20829,17402,12884,9727,7365,6149,3530,1613,559,159
 동대문구 ,1348752,6318,8007,8671,8710,9526,19249,24995,22866,18855,18457,20527,17817,20817,21391,19508,21271,18941,14289,11916,9238,7853,4366,1921,688,164,6278,7952,8659,8685,9893,19793,24928,22859,18836,18394,20499,17825,20815,21362,19617,21263,18901,14423,11786,9339,7941,4391,1955,677,168,6240,7885,8663,8685,10000,19902,24890,23002,18930,18307,20531,17737,20752,21368,19616,21176,18767,14755,11694,9391,7970,4420,1976,688,173,6207,7831,8658,8699,9929,19791,25052,23019,18965,18307,20523,17730,20671,21450,19493,21226,18808,14883,11645,9410,8028,4450,1995,693,171
 중랑구 ,1539895,7059,8676,9372,9409,10490,15609,22897,27200,22858,21155,23438,19681,24251,27118,25755,28672,23951,17497,14060,10126,8423,4411,1968,777,194,7018,8610,9358,9438,10487,15593,22832,27166,22788,21042,23437,19742,24170,27097,25828,28652,24014,17739,13874,10256,8509,4457,2010,763,200,7006,8565,9371,9409,10455,15525,22734,27226,22852,20986,23425,19715,23983,26963,25866,28631,23857,18219,13798,10314,8536,4510,2036,771,199,6958,8501,9395,9397,10389,15435,22727,27242,22910,20910,23391,19726,23807,26977,25662,28780,23962,18380,13744,10373,8573,4536,2068,767,206
 성북구 ,1719778,8093,11303,13226,13840,15275,24655,27609,25633,22066,22728,26651,24432,30612,29774,24649,25893,22702,16623,14299,11013,9843,5420,2380,980,219,8044,11224,13144,13760,15706,25128,27448,25401,21987,22572,26502,24527,30521,29760,24774,25901,22637,16834,14214,11063,9874,5481,2407,976,232,8019,11101,13098,13767,15778,25274,27449,25456,21936,22450,26410,24414,30341,29809,24859,25877,22443,17276,14114,11115,9858,5563,2426,971,243,7961,10983,13109,13728,15689,25132,27515,25472,21945,22324,26425,24332,30244,29851,24800,25946,22428,17519,13998,11127,9864,5598,2487,971,248
 강북구 ,1171400,3851,5577,6991,7629,8601,13570,17229,17426,13659,13581,16670,15657,20220,21105,19140,21249,18629,14324,12853,9775,8497,4418,1782,667,170,3820,5532,6988,7589,8672,13629,17129,17382,13632,13537,16520,15680,20090,21089,19217,21190,18635,14490,12687,9854,8580,4459,1845,660,170,3801,5521,6940,7544,8658,13573,17077,17411,13635,13447,16453,15607,19912,21008,19275,21151,18501,14840,12613,9918,8568,4541,1882,672,171,3752,5466,6924,7542,8615,13521,16998,17403,13690,13367,16399,15578,19770,21016,19125,21253,18504,14977,12550,9969,8597,4593,1878,677,171
 도봉구 ,1242443,4710,6740,8368,9047,10000,13648,16642,17517,14554,14962,17840,16429,21143,22669,20880,23403,20782,14966,12151,9116,8122,4511,2041,770,206,4669,6650,8304,9005,9943,13575,16563,17471,14554,14825,17759,16422,21004,22675,20930,23446,20748,15180,12008,9260,8218,4544,2072,773,207,4655,6579,8253,8980,9899,13522,16463,17512,14613,14802,17683,16335,20887,22637,20907,23341,20612,15590,11977,9282,8239,4602,2112,776,199,4594,6530,8245,8961,9868,13390,16465,17469,14571,14737,17688,16246,20760,22675,20777,23365,20615,15761,11941,9312,8246,4622,2144,778,204
