"행정구역","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율"
"서울특별시  (1100000000)","9,496,887","4,460,604","          2.13","4,607,440","4,889,447","          0.94","9,494,807","4,464,840","          2.13","4,605,655","4,889,152","          0.94","9,493,211","4,469,392","          2.12","4,604,405","4,888,806","          0.94","9,488,454","4,472,975","          2.12","4,601,295","4,887,159","          0.94","9,450,768","4,450,525","          2.12","4,582,361","4,868,407","          0.94","9,443,722","4,450,389","          2.12","4,578,459","4,865,263","          0.94","9,436,836","4,448,660","          2.12","4,574,781","4,862,055","          0.94","9,428,372","4,446,296","          2.12","4,570,048","4,858,324","          0.94","9,424,873","4,447,861","          2.12","4,567,739","4,857,134","          0.94","9,427,583","4,457,982","          2.11","4,567,957","4,859,626","          0.94","9,426,404","4,463,385","          2.11","4,566,299","4,860,105","          0.94","9,422,710","4,465,391","          2.11","4,563,512","4,859,198","          0.94"
"서울특별시 종로구 (1111000000)","143,850","73,822","          1.95","69,638","74,212","          0.94","143,624","73,728","          1.95","69,513","74,111","          0.94","143,547","73,756","          1.95","69,463","74,084","          0.94","143,499","73,866","          1.94","69,408","74,091","          0.94","141,978","72,797","          1.95","68,652","73,326","          0.94","141,861","72,758","          1.95","68,601","73,260","          0.94","141,650","72,666","          1.95","68,488","73,162","          0.94","141,379","72,524","          1.95","68,395","72,984","          0.94","141,223","72,479","          1.95","68,314","72,909","          0.94","141,433","72,773","          1.94","68,399","73,034","          0.94","141,060","72,679","          1.94","68,170","72,890","          0.94","140,891","72,644","          1.94","68,079","72,812","          0.93"
"서울특별시 종로구 청운효자동(1111051500)","11,838","5,215","          2.27","5,450","6,388","          0.85","11,803","5,210","          2.27","5,430","6,373","          0.85","11,780","5,195","          2.27","5,401","6,379","          0.85","11,766","5,198","          2.26","5,392","6,374","          0.85","11,693","5,154","          2.27","5,356","6,337","          0.85","11,700","5,150","          2.27","5,367","6,333","          0.85","11,677","5,148","          2.27","5,366","6,311","          0.85","11,628","5,129","          2.27","5,347","6,281","          0.85","11,600","5,129","          2.26","5,327","6,273","          0.85","11,605","5,130","          2.26","5,325","6,280","          0.85","11,574","5,117","          2.26","5,301","6,273","          0.85","11,531","5,109","          2.26","5,280","6,251","          0.84"
"서울특별시 종로구 사직동(1111053000)","9,321","4,676","          1.99","4,158","5,163","          0.81","9,310","4,674","          1.99","4,154","5,156","          0.81","9,292","4,669","          1.99","4,130","5,162","          0.80","9,278","4,668","          1.99","4,124","5,154","          0.80","9,126","4,583","          1.99","4,037","5,089","          0.79","9,128","4,591","          1.99","4,045","5,083","          0.80","9,106","4,590","          1.98","4,041","5,065","          0.80","9,087","4,570","          1.99","4,038","5,049","          0.80","9,131","4,592","          1.99","4,064","5,067","          0.80","9,120","4,593","          1.99","4,060","5,060","          0.80","9,106","4,588","          1.98","4,050","5,056","          0.80","9,104","4,584","          1.99","4,047","5,057","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,390","1,204","          1.99","1,134","1,256","          0.90","2,386","1,193","          2.00","1,130","1,256","          0.90","2,380","1,187","          2.01","1,131","1,249","          0.91","2,384","1,188","          2.01","1,130","1,254","          0.90","2,349","1,157","          2.03","1,118","1,231","          0.91","2,343","1,157","          2.03","1,113","1,230","          0.90","2,338","1,153","          2.03","1,114","1,224","          0.91","2,331","1,148","          2.03","1,112","1,219","          0.91","2,325","1,144","          2.03","1,110","1,215","          0.91","2,322","1,143","          2.03","1,104","1,218","          0.91","2,313","1,144","          2.02","1,101","1,212","          0.91","2,301","1,138","          2.02","1,096","1,205","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,455","4,235","          2.23","4,502","4,953","          0.91","9,432","4,235","          2.23","4,490","4,942","          0.91","9,423","4,234","          2.23","4,491","4,932","          0.91","9,411","4,232","          2.22","4,476","4,935","          0.91","9,314","4,177","          2.23","4,430","4,884","          0.91","9,283","4,170","          2.23","4,411","4,872","          0.91","9,278","4,164","          2.23","4,403","4,875","          0.90","9,241","4,144","          2.23","4,382","4,859","          0.90","9,198","4,123","          2.23","4,361","4,837","          0.90","9,178","4,129","          2.22","4,340","4,838","          0.90","9,148","4,122","          2.22","4,319","4,829","          0.89","9,168","4,125","          2.22","4,334","4,834","          0.90"
"서울특별시 종로구 평창동(1111056000)","18,023","7,483","          2.41","8,385","9,638","          0.87","17,963","7,438","          2.42","8,368","9,595","          0.87","17,973","7,439","          2.42","8,367","9,606","          0.87","17,915","7,418","          2.42","8,345","9,570","          0.87","17,767","7,323","          2.43","8,282","9,485","          0.87","17,726","7,302","          2.43","8,266","9,460","          0.87","17,662","7,274","          2.43","8,234","9,428","          0.87","17,663","7,270","          2.43","8,236","9,427","          0.87","17,636","7,253","          2.43","8,224","9,412","          0.87","17,602","7,258","          2.43","8,212","9,390","          0.87","17,553","7,248","          2.42","8,201","9,352","          0.88","17,520","7,238","          2.42","8,184","9,336","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,165","3,063","          2.67","3,791","4,374","          0.87","8,150","3,060","          2.66","3,782","4,368","          0.87","8,130","3,052","          2.66","3,774","4,356","          0.87","8,106","3,049","          2.66","3,757","4,349","          0.86","8,056","3,024","          2.66","3,730","4,326","          0.86","8,038","3,025","          2.66","3,721","4,317","          0.86","8,035","3,020","          2.66","3,714","4,321","          0.86","8,023","3,017","          2.66","3,708","4,315","          0.86","8,012","3,013","          2.66","3,705","4,307","          0.86","8,019","3,019","          2.66","3,698","4,321","          0.86","8,014","3,014","          2.66","3,691","4,323","          0.85","8,008","3,014","          2.66","3,684","4,324","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,958","4,436","          2.24","4,580","5,378","          0.85","9,947","4,432","          2.24","4,580","5,367","          0.85","9,942","4,437","          2.24","4,578","5,364","          0.85","9,944","4,434","          2.24","4,579","5,365","          0.85","9,875","4,396","          2.25","4,550","5,325","          0.85","9,861","4,398","          2.24","4,543","5,318","          0.85","9,844","4,387","          2.24","4,536","5,308","          0.85","9,816","4,386","          2.24","4,528","5,288","          0.86","9,794","4,382","          2.24","4,506","5,288","          0.85","9,783","4,383","          2.23","4,505","5,278","          0.85","9,751","4,375","          2.23","4,482","5,269","          0.85","9,764","4,377","          2.23","4,484","5,280","          0.85"
"서울특별시 종로구 가회동(1111060000)","4,027","1,986","          2.03","1,846","2,181","          0.85","4,026","1,988","          2.03","1,846","2,180","          0.85","4,008","1,980","          2.02","1,845","2,163","          0.85","3,978","1,968","          2.02","1,830","2,148","          0.85","3,961","1,942","          2.04","1,832","2,129","          0.86","3,957","1,939","          2.04","1,832","2,125","          0.86","3,952","1,934","          2.04","1,825","2,127","          0.86","3,941","1,931","          2.04","1,821","2,120","          0.86","3,962","1,943","          2.04","1,830","2,132","          0.86","3,969","1,948","          2.04","1,845","2,124","          0.87","3,962","1,944","          2.04","1,844","2,118","          0.87","3,939","1,938","          2.03","1,835","2,104","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,231","5,315","          1.36","4,281","2,950","          1.45","7,199","5,294","          1.36","4,270","2,929","          1.46","7,196","5,299","          1.36","4,274","2,922","          1.46","7,217","5,322","          1.36","4,280","2,937","          1.46","6,750","4,922","          1.37","4,076","2,674","          1.52","6,738","4,924","          1.37","4,082","2,656","          1.54","6,747","4,933","          1.37","4,091","2,656","          1.54","6,728","4,926","          1.37","4,095","2,633","          1.56","6,732","4,927","          1.37","4,100","2,632","          1.56","6,760","4,957","          1.36","4,113","2,647","          1.55","6,740","4,947","          1.36","4,099","2,641","          1.55","6,737","4,951","          1.36","4,097","2,640","          1.55"
